"","interval","result"
"1","(0,10]",0.0302666666666667
"2","(10,20]",0.254405940594059
"3","(20,30]",1.86782242990654
"4","(30,40]",4.88128787878788
"5","(40,50]",9.42130158730159
"6","(50,60]",14.917079787234
"7","(60,70]",42.3191117647059
"8","(70,80]",43.5190943396226
"9","(80,90]",19.93409375
"10","(90,100]",13.5013333333333
"11","(100,110]",1646.69325
"12","(110,120]",145.6855
"13","(120,130]",NA
"14","(130,140]",NA
