"","LENGTH","AGE","INDWT"
"911","50",NA,"1.194"
"912","47","3","1.016"
"913","49","4","1.118"
"914","53","4","1.722"
"915","51","4","1.308"
"916","6",NA,".002"
"917","59","4","2.032"
"918","60","4","2.14"
"919","56","4","1.78"
"920","56","4","1.738"
"921","38","2",".543"
"922","34","2",".403"
"923","39","2",".594"
"924","42","2",".782"
"925","55","4","1.692"
"926","49","4","1.246"
"927","54","4","1.488"
"928","47","3","1.126"
"929","56","4","1.816"
"930","56","5","1.732"
"931","55","4","1.794"
"932","44","2",".847"
"933","52","4","1.44"
"934","48","3","1.148"
"935","52","4","1.444"
"936","59","4","2.28"
"937","64","6","3.064"
"938","35","2",".42"
"939","65","4","3.22"
"940","44","3",".911"
"941","52","4","1.45"
"942","33","2",".427"
"943","47","3","1.052"
"944","40","2",".618"
"945","48","3","1.098"
"946","59","4","2.088"
"947","38","2",".566"
"948","31","2",".309"
"949","51","4","1.348"
"950","43","2",".755"
"951","34","2",".381"
"952","40","2",".684"
"953","51","4","1.364"
"954","51",NA,"1.412"
"955","37",NA,".507"
"956","39","2",".597"
"957","35","2",".426"
"958","41","2",".67"
"959","33","2",".336"
"960","35","2",".396"
"961","38","2",".548"
"962","55","4","2.064"
"963","60","5","2.524"
"964","60","5","2.72"
"965","62","4","2.732"
"966","62","4","2.692"
"967","69","5","3.486"
"968","32","2",".302"
"969","36","2",".457"
"970","53","4","1.56"
"971","55","5","1.608"
"972","51","4","1.25"
"973","31","2",".321"
"974","33","2",".366"
"975","34","2",".405"
"976","40","3",".703"
"977","43","3",".914"
"978","42","2",".753"
"979","37","2",".534"
"980","54","4","1.675"
"981","31","1",".316"
"982","26","1",".16"
"983","33","2",".34"
"984","19",NA,".058"
"985","19","1",".07"
"986","17","0",".042"
"987","18","1",".05"
"988","18",NA,".05"
"989","19","0",".056"
"990","27","1",".196"
"991","28","1",".21"
"992","31","1",".268"
"993","36","2",".473"
"994","37","2",".51"
"995","36","2",".478"
"996","36","2",".462"
"997","21","1",".088"
"998","30","2",".274"
"999","26","1",".144"
"1000","32","2",".308"
"1001","57","4","2.078"
"1002","61","5","2.594"
"1003","56","4","1.736"
"1004","15","0",".027"
"1005","45","3",".93"
"1006","27","2",".166"
"1007","33","2",".403"
"1008","48","3","1.06"
"1009","33","2",".365"
"1010","27","1",".192"
"1011","72","6","3.65"
"1012","72","6","3.686"
"1013","56","4","1.964"
"1014","66","6","3.056"
"1015","53","4","1.662"
"1016","35","2",".38"
"1017","35","2",".486"
"1018","29","1",".216"
"1019","36","2",".448"
"1020","58","5","1.98"
"1021","49","4","1.48"
"1022","65","6","3.13"
"1023","61","6","2.37"
"1024","49","4","1.35"
"1025","30","2",".245"
"1026","29","2",".225"
"1027","63","5","2.48"
"1028","31","2",".315"
"1029","48","3","1.32"
"1030","56","5","1.88"
"1031","44","3",".795"
"1032","27","1",".19"
"1033","48","3","1.18"
"1034","64","5","2.875"
"1035","41","2",".67"
"1036","63","6","2.495"
"1037","50","4","1.33"
"1038","76","5","4.835"
"1039","30","2",".315"
"1040","49","4","1.245"
"1041","39","2",".63"
"1042","37","2",".53"
"1043","40","3",".63"
"1044","46","4",".955"
"1045","51","4","1.385"
"1046","45","3",".97"
"1047","28","2",".224"
"1048","42","2",".805"
"1049","28","1",".225"
"1050","29","2",".265"
"1051","16",NA,".039"
"1052","32","3",".354"
"1053","21","2",".069"
"1054","32","3",".3"
"1055","27","3",".197"
"1056","20","2",".066"
"1057","20","2",".07"
"1058","18","2",".057"
"1059","18","2",".047"
"1060","22","2",".092"
"1061","24","2",".12"
"1062","18","2",".054"
"1063","42","3",".735"
"1064","60","6","1.968"
"1065","34","3",".39"
"1066","21","2",".074"
"1067","24","2",".114"
"1068","22","2",".094"
"1069","22","2",".082"
"1070","19","2",".06"
"1071","20","2",".067"
"1072","51","6","1.253"
"1073","52","5","1.384"
"1074","100","10","9.68"
"1075","38","3",".508"
"1076","88","10","7.71"
"1077","18","2",".049"
"1078","16","2",".04"
"1079","19","2",".058"
"1080","17","2",".047"
"1081","31","3",".319"
"1082","18","2",".058"
"1083","18","2",".048"
"1084","18","2",".048"
"1085","21","2",".072"
"1086","21","2",".078"
"1087","20","2",".071"
"1088","21","2",".08"
"1089","14","1",".023"
"1090","16","1",".038"
"1091","15","1",".033"
"1092","20","2",".061"
"1093","18","1",".055"
"1094","67","5","2.762"
"1095","16","1",".036"
"1096","19","2",".058"
"1097","70","7","3.232"
"1098","15","1",".024"
"1099","17","1",".035"
"1100","16","1",".03"
"1101","17","2",".037"
"1102","72","6","4.336"
"1103","16","1",".035"
"1104","15","1",".027"
"1105","15","1",".028"
"1106","16","1",".035"
"1107","17","1",".036"
"1108","84","7","6.05"
"1109","80","7","5.07"
"1110","66","5","3.248"
"1111","78","8","5.078"
"1112","40","3",".585"
"1113","76","7","4.416"
"1114","47","5","1.072"
"1115","74","6","4.278"
"1116","63","6","2.472"
"1117","70","6","3.7"
"1118","46","4","1.04"
"1119","18","2",".048"
"1120","17","2",".037"
"1121","42",NA,".78"
"1122","66","7","2.805"
"1123","59","6","2.035"
"1124","55","6","1.615"
"1125","42","4",".75"
"1126","69","7","3.458"
"1127","50","3","1.308"
"1128","45","3","1.08"
"1129","58","4","2.164"
"1130","68","6","3.24"
"1131","48","3","1.269"
"1132","37","3",".528"
"1133","50","3","1.265"
"1134","47","3","1.1"
"1135","47","3","1.102"
"1136","44","3",".925"
"1137","61","5","2.588"
"1138","56","4","1.734"
"1139","66","6","2.946"
"1140","70","6","3.308"
"1141","70","6","3.494"
"1142","60","5","2.476"
"1143","73","7","4.306"
"1144","73","7","4.19"
"1145","57","5","2.034"
"1146","60","5","2.318"
"1147","73","7","4.056"
"1148","63","6","2.622"
"1149","26",NA,".17"
"1150","67","6","3.16"
"1151","79","7","5.146"
"1152","70","6","3.744"
"1153","68","7","3.306"
"1154","64","5","2.752"
"1155","62","5","2.446"
"1156","66","6","3.156"
"1157","45","3",".92"
"1158","45","3",".954"
"1159","48","3","1.138"
"1160","32","2",".324"
"1161","55","5","1.774"
"1162","47",NA,"1.102"
"1163","52","4","1.494"
"1164","59","5","1.95"
"1165","53","4","1.772"
"1166","60","4","2.534"
"1167","62","5","2.928"
"1168","50","5","1.137"
"1169","80","7","6.24"
"1170","56","5","1.86"
"1171","55","4","1.684"
"1172","58","5","2.092"
"1173","33","2",".364"
"1174","40","3",".69"
"1175","49","3","1.15"
"1176","51","4","1.285"
"1177","45","3",".989"
"1178","42","3",".742"
"1179","53","4","1.399"
"1180","45","3","1.006"
"1181","48","3","1.183"
"1182","52","5","1.535"
"1183","52","4","1.523"
"1184","42","3",".805"
"1185","45","3","1.051"
"1186","39","2",".592"
"1187","37",NA,".522"
"1188","49","3","1.066"
"1189","56","5","1.814"
"1190","56","4","1.664"
"1191","53","4","1.586"
"1192","51","5","1.277"
"1193","47","3","1.082"
"1194","38","3",".549"
"1195","63",NA,"2.85"
"1196","41","2",".713"
"1197","41","2",".718"
"1198","43","3",".874"
"1199","43","3",".838"
"1200","52","4","1.499"
"1201","40","3",".632"
"1202","36","2",".489"
"1203","31","2",".304"
"1204","36","3",".462"
"1205","60","5","2.076"
"1206","39","3",".604"
"1207","63","5","2.814"
"1208","40","3",".679"
"1209","42","3",".746"
"1210","43","3",".82"
"1211","45","3",".867"
"1212","50","4","1.24"
"1213","32","2",".312"
"1214","37","3",".452"
"1215","79","7","6.14"
"1216","47","4","1.01"
"1217","53","5","1.568"
"1218","45","3",".838"
"1219","36","2",".502"
"1220","47","4","1.074"
"1221","45","3","1.06"
"1222","27","1",".209"
"1223","25","1",".142"
"1224","33","2",".356"
"1225","72",NA,"4.296"
"1226","28","1",".236"
"1227","30","2",".267"
"1228","79","6","5.94"
"1229","68","5","3.094"
"1230","61","5","2.417"
"1231","66","5","2.998"
"1232","62","4","2.694"
"1233","61","5","2.211"
"1234","46","3","1.068"
"1235","37","2",".598"
"1236","41","2",".676"
"1237","46","3","1.15"
"1238","38","2",".606"
"1239","28","1",".22"
"1240","27","1",".208"
"1241","36","2",".54"
"1242","38","2",".61"
"1243","44","3","1.004"
"1244","38","2",".54"
"1245","36","3",".443"
"1246","54","4","1.719"
"1247","34","2",".471"
"1248","49","3","1.198"
"1249","40","2",".636"
"1250","63","4","2.902"
"1251","60","5","2.244"
"1252","50","3","1.284"
"1253","65","6","2.838"
"1254","60","5","2.23"
"1255","47","3","1.06"
"1256","61","5","2.482"
"1257","66","6","3.12"
"1258","29","1",".282"
"1259","57","5","1.988"
"1260","31","2",".338"
"1261","51","4","1.444"
"1262","28","1",".218"
"1263","28","1",".228"
"1264","38","3",".648"
"1265","63","5","2.714"
"1266","57","4","2.092"
"1267","69","5","3.884"
"1268","59","4","2.355"
"1269","58","5","2.228"
