"","LENGTH","AGE","INDWT"
"280","48","4",".814"
"281","56","4","1.148"
"282","46","3",".613"
"283","50","4",".831"
"284","28",NA,".118"
"285","54","4","1.151"
"286","44",NA,".554"
"287","45","3",".541"
"288","53","4","1.11"
"289","49","4",".869"
"290","48","3",".754"
"291","45","4",".732"
"292","52","4",".969"
"293","50","4",".936"
"294","59","4","1.54"
"295","61","5","1.498"
"296","48","4",".856"
"297","44","3",".64"
"298","100","10","11.25"
"299","61","5","1.804"
"300","68","5","2.668"
"301","46","3",".721"
"302","50","4",".894"
"303","57","4","1.352"
"304","55","4","1.284"
"305","52",NA,".946"
"306","44","3",".549"
"307","52","4","1.034"
"308","52","4",".901"
"309","32","2",".204"
"310","33","2",".231"
"311","36","3",".315"
"312","39","2",".373"
"313","35","2",".297"
"314","46","4",".651"
"315","54","4","1.036"
"316","47","3",".603"
"317","41","3",".541"
"318","79","6","4.08"
"319","60","5","1.746"
"320","71","6","3.13"
"321","51","4",".976"
"322","32","2",".182"
"323","32","2",".196"
"324","31","2",".204"
"325","67","5","2.266"
"326","55","4","1.228"
"327","53","4","1.002"
"328","41","3",".398"
"329","41","3",".452"
"330","43","3",".548"
"331","42","3",".506"
"332","57","4","1.208"
"333","44","3",".592"
"334","46","3",".678"
"335","45","3",".562"
"336","53","4",".964"
"337","30","2",".164"
"338","33","3",".259"
"339","24","2",".078"
"340","19","1",".035"
"341","60","3","1.844"
"342","59","3","1.798"
"343","57","3","1.514"
"344","60",NA,"1.812"
"345","43","2",".622"
"346","50","2","1.016"
"347","47","2","1.034"
"348","57","3","1.564"
"349","55","3","1.47"
"350","45","2",".831"
"351","63","3","2.288"
"352","59","3","1.74"
"353","48","2",".748"
"354","50","3",".859"
"355","50","3","1.068"
"356","36","2",".379"
"357","50","2",".85"
"358","53",NA,".929"
"359","39","2",".414"
"360","47",NA,".864"
"361","46","2",".743"
"362","43","2",".728"
"363","50","4","1.193"
"364","72","5","3.382"
"365","75","5","4.31"
"366","50","3",".896"
"367","60","4","1.702"
"368","60","4","1.83"
"369","59","4","1.65"
"370","43","3",".881"
"371","48","3","1.114"
"372","65","5","2.169"
"373","53","4","1.349"
"374","59","5","1.721"
"375","76","6","4.178"
"376","64","4","2.472"
"377","63","4","2.06"
"378","71","5","2.956"
"379","30",NA,".132"
"380","62","3","1.934"
"381","57",NA,"1.447"
"382","67","3","2.269"
"383","68","4","3.41"
"384","47","2",".747"
"385","58","3","1.632"
"386","53","3","1.411"
"387","56",NA,"1.376"
"388","52","3","1.132"
"389","50",NA,"1.035"
"390","61","3","2.11"
"391","52",NA,".835"
"392","40",NA,".416"
